,date,trial_name,trial_number,participant_number,vicon_file,theia_file,output_dir,fill_missing_samples,time_offset,special_side,start_time,end_time,data_length_s,saved,additional_info
396,2024-10-03 10:21:15.263481,dribble simulation,5,pp20,/both10 dribble simulation 005.c3d,/both10 dribble simulation 005 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,-0.35,,3.5768,7.8641,4.266666666666666,True,
397,2024-10-03 10:21:24.174801,dribble simulation,6,pp20,/both10 dribble simulation 006.c3d,/both10 dribble simulation 006 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.25,,3.2882,8.2026,4.8999999999999995,True,
398,2024-10-03 10:45:18.627828,slow dribble,1,pp20,/pp20 slow dribble 001.c3d,/pp20 slow dribble 001 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2,,2.1013,4.4974,2.3666666666666667,True,
399,2024-10-03 10:45:19.101671,slow dribble,2,pp20,/pp20 slow dribble 002.c3d,/pp20 slow dribble 002 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.1666666666666666,,2.1887,4.6528,2.4499999999999993,True,
400,2024-10-03 10:21:33.695035,walk high five,1,pp20,/both10 walk high five 001.c3d,/both10 walk high five 001 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2833333333333334,right,3.2682,5.0176,1.733333333333333,True,
401,2024-10-03 10:45:19.561462,slow dribble,3,pp20,/pp20 slow dribble 003.c3d,/pp20 slow dribble 003 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2333333333333333,,2.297,4.3525,2.05,True,
402,2024-10-03 10:45:20.535896,walk rotation,2,pp20,/pp20 walk rotation 002.c3d,/pp20 walk rotation 002 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.0666666666666666,,2.4654,5.8032,3.3333333333333335,True,
403,2024-10-03 10:45:20.007273,walk rotation,1,pp20,/pp20 walk rotation 001.c3d,/pp20 walk rotation 001 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2833333333333333,,2.7867,6.1648,3.35,True,
404,2024-10-03 10:21:41.991719,walk high five,3,pp20,/both10 walk high five 003.c3d,/both10 walk high five 003 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.1,right,2.551,4.2188,1.6500000000000004,True,
405,2024-10-03 10:21:46.535446,walk high five,4,pp20,/both10 walk high five 004.c3d,/both10 walk high five 004 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.3666666666666666,left,2.2222,3.9755,1.733333333333333,True,
406,2024-10-03 10:45:21.065902,walk rotation,3,pp20,/pp20 walk rotation 003.c3d,/pp20 walk rotation 003 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.15,,2.2724,5.5611,3.2666666666666666,True,
407,2024-10-03 10:21:50.930236,walk high five,5,pp20,/both10 walk high five 005.c3d,/both10 walk high five 005 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2666666666666666,left,2.5303,4.1515,1.6166666666666671,True,
408,2024-10-03 10:45:17.509931,sidestep,3,pp20,/pp20 sidestep 003.c3d,/pp20 sidestep 003 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2,right,2.2568,4.489,2.216666666666667,True,
409,2024-10-03 10:21:37.865484,walk high five,2,pp20,/both10 walk high five 002.c3d,/both10 walk high five 002 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.1,right,3.0005,4.6332,1.6000000000000003,True,
410,2024-10-03 10:45:13.521425,sidestep,2,pp20,/pp20 sidestep 002.c3d,/pp20 sidestep 002 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2,right,1.8885,3.9307,2.0166666666666657,True,
411,2024-10-03 10:20:09.533604,double sidestep,5,pp20,/both10 double sidestep 005.c3d,/both10 double sidestep 005 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2,right,2.5436,4.2106,1.6500000000000004,True,
412,2024-10-03 10:45:12.556196,sidestep,1,pp20,/pp20 sidestep 001.c3d,/pp20 sidestep 001 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.0333333333333333,right,1.9879,4.1012,2.1000000000000005,True,
413,2024-10-03 10:20:38.406173,dribble simulation,2,pp20,/both10 dribble simulation 002.c3d,/both10 dribble simulation 002 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2,,4.4952,6.1167,1.6166666666666665,True,
414,2024-10-03 10:45:12.141108,shot rom,3,pp20,/pp20 shot rom 003.c3d,/pp20 shot rom 003 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.1333333333333333,right,1.3833,3.446,2.0500000000000003,True,
415,2024-10-03 10:20:24.814242,dribble simulation,1,pp20,/both10 dribble simulation 001.c3d,/both10 dribble simulation 001 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.1666666666666666,,2.5539,8.1003,5.533333333333335,True,
416,2024-10-03 10:20:15.740248,double sidestep,6,pp20,/both10 double sidestep 006.c3d,/both10 double sidestep 006 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.0833333333333333,right,2.061,3.8174,1.75,True,
417,2024-09-25 15:14:35.156604,shot rom,2,pp20,/pp20 shot rom 002.c3d,/pp20 shot rom 002 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v2,False,,,,,,False,skipped due to NaN's
418,2024-10-03 10:20:03.700782,double sidestep,4,pp20,/both10 double sidestep 004.c3d,/both10 double sidestep 004 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2,right,2.3832,3.9045,1.5166666666666662,True,
419,2024-10-03 10:19:58.386549,double sidestep,3,pp20,/both10 double sidestep 003.c3d,/both10 double sidestep 003 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2666666666666666,right,2.0298,3.773,1.7333333333333334,True,
420,2024-10-03 10:19:51.656382,double sidestep,2,pp20,/both10 double sidestep 002.c3d,/both10 double sidestep 002 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.25,right,1.796,3.5591,1.75,True,
421,2024-10-03 10:19:46.205680,double sidestep,1,pp20,/both10 double sidestep 001.c3d,/both10 double sidestep 001 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.15,right,1.8923,3.6689,1.766666666666667,True,
422,2024-10-03 10:45:11.697704,shot rom,1,pp20,/pp20 shot rom 001.c3d,/pp20 shot rom 001 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2166666666666666,right,1.4547,3.8171,2.3499999999999996,True,
423,2024-10-03 10:45:11.117439,pass,3,pp20,/pp20 pass 003.c3d,/pp20 pass 003 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2166666666666666,,1.826,4.1337,2.3,True,
424,2024-10-03 10:45:10.353858,pass,2,pp20,/pp20 pass 002.c3d,/pp20 pass 002 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.15,,1.9096,3.9039,1.983333333333333,True,
425,2024-10-03 10:45:09.796526,pass,1,pp20,/pp20 pass 001.c3d,/pp20 pass 001 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.1666666666666666,,2.0632,3.8146,1.7333333333333334,True,
426,2024-10-03 10:20:50.788724,dribble simulation,3,pp20,/both10 dribble simulation 003.c3d,/both10 dribble simulation 003 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.25,,3.7769,7.4586,3.666666666666667,True,
427,2024-10-03 10:21:55.297264,walk high five,6,pp20,/both10 walk high five 006.c3d,/both10 walk high five 006 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.2333333333333333,left,2.3597,4.0352,1.6666666666666663,True,
428,2024-10-03 10:21:03.049535,dribble simulation,4,pp20,/both10 dribble simulation 004.c3d,/both10 dribble simulation 004 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.1166666666666666,,3.3356,8.1333,4.766666666666666,True,
429,2024-10-03 10:45:21.569353,pass,1,pp21,/pp21 pass 001.c3d,/pp21 pass 001 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.1166666666666666,,1.8135,3.8031,1.9833333333333332,True,
430,2024-10-03 10:22:19.514202,double sidestep,3,pp21,/both11 double sidestep 003.c3d,/both11 double sidestep 003 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.0166666666666666,left,2.0598,3.2688,1.1999999999999995,True,
431,2024-10-03 10:45:22.078525,pass,2,pp21,/pp21 pass 002.c3d,/pp21 pass 002 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.0666666666666666,,1.6875,4.0136,2.3,True,
432,2024-10-03 10:22:28.917001,double sidestep,4,pp21,/both11 double sidestep 004.c3d,/both11 double sidestep 004 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.0666666666666666,left,2.1407,3.6209,1.4666666666666663,True,
433,2024-10-03 10:22:36.848526,double sidestep,5,pp21,/both11 double sidestep 005.c3d,/both11 double sidestep 005 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,-0.1333333333333333,left,2.1637,3.6238,1.4500000000000002,True,
434,2024-10-03 10:22:44.544967,double sidestep,6,pp21,/both11 double sidestep 006.c3d,/both11 double sidestep 006 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,-0.1666666666666666,left,1.754,3.2945,1.5166666666666664,True,
435,2024-10-03 10:22:51.649502,dribble simulation,1,pp21,/both11 dribble simulation 001.c3d,/both11 dribble simulation 001 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,-0.0833333333333333,,3.3873,6.2802,2.8666666666666663,True,
436,2024-10-03 10:23:00.636923,dribble simulation,2,pp21,/both11 dribble simulation 002.c3d,/both11 dribble simulation 002 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.0833333333333333,,2.8997,5.3319,2.4166666666666674,True,
437,2024-10-03 10:22:09.986726,double sidestep,2,pp21,/both11 double sidestep 002.c3d,/both11 double sidestep 002 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,-0.1333333333333333,left,2.3722,3.7671,1.3833333333333333,True,
438,2024-10-03 10:23:08.858480,dribble simulation,3,pp21,/both11 dribble simulation 003.c3d,/both11 dribble simulation 003 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,-0.1,,3.3102,5.5302,2.1999999999999997,True,
439,2024-10-03 10:23:27.114575,dribble simulation,5,pp21,/both11 dribble simulation 005.c3d,/both11 dribble simulation 005 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.3166666666666666,,2.7727,5.9584,3.166666666666667,True,
440,2024-10-03 10:23:36.881715,dribble simulation,6,pp21,/both11 dribble simulation 006.c3d,/both11 dribble simulation 006 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,-0.15,,2.6772,5.0699,2.383333333333334,True,
441,2024-10-03 10:23:45.129695,walk high five,1,pp21,/both11 walk high five 001.c3d,/both11 walk high five 001 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.0,right,3.5193,5.215,1.666666666666667,True,
442,2024-10-03 10:23:49.002880,walk high five,2,pp21,/both11 walk high five 002.c3d,/both11 walk high five 002 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.1333333333333333,right,3.0304,4.6306,1.583333333333333,True,
443,2024-10-03 10:23:53.701613,walk high five,3,pp21,/both11 walk high five 003.c3d,/both11 walk high five 003 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.1666666666666666,right,2.599,4.1218,1.5166666666666662,True,
444,2024-10-03 10:23:58.553631,walk high five,4,pp21,/both11 walk high five 004.c3d,/both11 walk high five 004 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,-0.0333333333333333,right,2.8751,4.5054,1.6166666666666667,True,
445,2024-10-03 10:24:03.669451,walk high five,5,pp21,/both11 walk high five 005.c3d,/both11 walk high five 005 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,-0.0666666666666666,right,2.7384,4.3136,1.5499999999999998,True,
446,2024-10-03 10:23:17.680156,dribble simulation,4,pp21,/both11 dribble simulation 004.c3d,/both11 dribble simulation 004 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.25,,2.3793,4.4014,2.016666666666667,True,
447,2024-10-03 10:21:59.979545,double sidestep,1,pp21,/both11 double sidestep 001.c3d,/both11 double sidestep 001 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,-0.0333333333333333,left,2.2106,3.6921,1.4666666666666668,True,
448,2024-10-03 10:24:08.712163,walk high five,6,pp21,/both11 walk high five 006.c3d,/both11 walk high five 006 pose_filt_1.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.0666666666666666,right,2.1851,3.8167,1.6166666666666667,True,
449,2024-10-03 10:45:28.432214,slow dribble,3,pp21,/pp21 slow dribble 003.c3d,/pp21 slow dribble 003 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.0833333333333333,,1.685,4.4552,2.75,True,
450,2024-10-03 10:45:22.561401,pass,3,pp21,/pp21 pass 003.c3d,/pp21 pass 003 pose_filt_0.c3d,/Volumes/Storage Alexander/Theia validation/mcv_processed_snippets_v2024_v3,False,0.1,,1.4323,3.8277,2.383333333333333,True,
